date,district,crop_type,price,rainfall,temperature,humidity
2022-01-01,Pune,Wheat,1224.06,0.23,18.21,66.74
2022-01-01,Nagpur,Rice,1746.45,0.83,16.9,54.58
2022-01-01,Nashik,Cotton,1332.2,1.43,17.75,62.19
2022-01-01,Nashik,Soybean,1925.98,0.92,14.45,60.32
2022-01-01,Nagpur,Maize,2253.85,1.67,15.45,60.27
2022-01-01,Pune,Soybean,1477.71,0.68,19.3,51.3
2022-01-01,Aurangabad,Maize,1136.88,0.36,20.22,50.96
2022-01-01,Nagpur,Wheat,1248.73,0.58,19.66,51.06
2022-01-01,Kolhapur,Wheat,2263.85,4.16,14.0,63.45
2022-01-01,Aurangabad,Wheat,1499.79,1.12,16.93,60.91
2022-01-01,Nashik,Wheat,2001.42,0.57,16.34,56.27
2022-01-01,Aurangabad,Rice,1852.12,1.07,14.79,63.88
2022-01-01,Aurangabad,Soybean,1762.46,1.38,19.95,68.22
2022-01-01,Nashik,Maize,1628.47,0.51,17.66,66.86
2022-01-01,Pune,Maize,1765.81,0.57,17.73,55.23
2022-01-01,Kolhapur,Cotton,1720.98,,12.09,57.28
2022-01-01,Kolhapur,Maize,2409.93,2.04,21.07,58.91
2022-01-01,Kolhapur,Soybean,1535.06,0.69,18.02,55.59
2022-01-01,Nashik,Rice,1878.75,0.35,19.98,59.86
2022-01-01,Nagpur,Soybean,2240.77,2.23,16.24,60.99
2022-01-01,Nagpur,Cotton,1861.03,0.19,18.73,61.51
2022-01-01,Aurangabad,Cotton,1719.65,0.21,19.12,57.92
2022-01-01,Pune,Rice,1509.39,0.89,17.91,65.71
2022-01-01,Pune,Cotton,2441.09,0.16,16.84,64.08
2022-01-01,Kolhapur,Rice,1638.75,0.22,13.9,
2022-01-02,Kolhapur,Wheat,2228.81,0.16,18.97,56.92
2022-01-02,Pune,Maize,1622.07,0.22,21.29,48.5
2022-01-02,Kolhapur,Rice,1844.66,1.41,18.18,54.88
2022-01-02,Aurangabad,Maize,1353.98,1.56,16.3,60.94
2022-01-02,Aurangabad,Cotton,1566.41,1.37,,64.12
2022-01-02,Kolhapur,Soybean,1679.18,0.64,16.81,66.7
2022-01-02,Aurangabad,Soybean,1624.65,1.78,20.49,62.88
2022-01-02,Pune,Soybean,1408.91,0.21,23.01,70.1
2022-01-02,Kolhapur,Cotton,1831.62,3.16,15.93,68.75
2022-01-02,Kolhapur,Maize,2491.83,1.87,17.87,56.92
2022-01-02,Nagpur,Rice,1745.77,0.5,17.87,60.56
2022-01-02,Aurangabad,Rice,2034.67,1.0,18.65,66.99
2022-01-02,Pune,Rice,1665.33,0.24,,72.38
2022-01-02,Nagpur,Wheat,1125.57,0.06,15.99,69.08
2022-01-02,Nashik,Cotton,1428.19,0.26,20.76,45.64
2022-01-02,Nashik,Wheat,1939.86,0.39,,67.66
2022-01-02,Pune,Wheat,1193.18,2.67,16.98,69.11
2022-01-02,Pune,Cotton,2318.21,0.4,16.95,65.02
2022-01-02,Nashik,Rice,1830.26,0.41,18.02,60.17
2022-01-02,Nagpur,Cotton,1895.26,,19.29,53.61
2022-01-02,Nashik,Maize,1564.26,0.49,,63.16
2022-01-02,Aurangabad,Wheat,1356.53,0.35,20.17,67.42
2022-01-02,Nashik,Soybean,1892.59,0.31,16.88,58.03
2022-01-02,Nagpur,Maize,2178.69,0.48,12.61,55.49
2022-01-02,Nagpur,Soybean,2012.05,0.02,15.05,60.84
2022-01-03,Kolhapur,Wheat,2173.14,0.51,16.65,57.16
2022-01-03,Pune,Maize,1830.05,0.11,16.24,61.79
2022-01-03,Nashik,Maize,1595.86,0.8,20.31,67.88
2022-01-03,Aurangabad,Soybean,1742.93,0.24,19.07,59.38
2022-01-03,Kolhapur,Cotton,1849.63,1.43,19.45,
2022-01-03,Pune,Cotton,2348.06,,16.85,61.94
2022-01-03,Pune,Rice,1573.86,0.27,,51.67
2022-01-03,Nagpur,Cotton,1778.58,0.92,18.8,65.37
2022-01-03,Aurangabad,Cotton,1723.17,0.32,16.14,64.56
2022-01-03,Kolhapur,Soybean,1627.44,0.11,18.45,59.13
2022-01-03,Nashik,Rice,1695.09,0.03,20.73,59.85
2022-01-03,Pune,Wheat,1387.12,0.12,18.59,57.29
2022-01-03,Kolhapur,Rice,1695.72,0.64,17.98,55.94
2022-01-03,Nagpur,Soybean,2222.73,1.31,16.09,64.66
2022-01-03,Nashik,Wheat,1997.22,1.36,17.15,65.9
2022-01-03,Nashik,Cotton,1329.2,4.25,17.99,56.5
2022-01-03,Aurangabad,Rice,2078.8,1.75,21.53,63.81
2022-01-03,Aurangabad,Wheat,1375.87,0.29,20.24,60.97
2022-01-03,Nagpur,Wheat,1341.91,0.26,18.17,49.25
2022-01-03,Kolhapur,Maize,2266.18,2.05,,57.0
2022-01-03,Nashik,Soybean,1770.69,1.46,15.08,60.12
2022-01-03,Nagpur,Rice,1824.91,0.13,18.13,63.61
2022-01-03,Pune,Soybean,1325.17,1.08,16.74,60.73
2022-01-03,Nagpur,Maize,2306.49,1.0,15.65,51.63
2022-01-03,Aurangabad,Maize,1365.42,0.48,19.47,63.19
2022-01-04,Nashik,Soybean,1755.34,0.1,16.38,66.32
2022-01-04,Kolhapur,Wheat,2141.5,0.03,15.38,55.22
2022-01-04,Aurangabad,Cotton,1540.59,0.33,21.63,58.14
2022-01-04,Kolhapur,Soybean,1545.99,0.69,17.65,57.83
2022-01-04,Nagpur,Rice,1727.43,2.21,15.61,61.85
2022-01-04,Nashik,Rice,1882.87,3.55,14.1,69.33
2022-01-04,Aurangabad,Rice,1875.44,0.15,17.97,63.79
2022-01-04,Nagpur,Cotton,1822.55,2.5,16.35,56.97
2022-01-04,Pune,Cotton,2448.3,1.29,16.09,69.38
2022-01-04,Kolhapur,Rice,,0.65,19.64,54.2
2022-01-04,Nashik,Cotton,1418.74,0.53,19.43,64.53
2022-01-04,Nagpur,Soybean,2119.73,0.28,16.11,73.44
2022-01-04,Nagpur,Maize,2267.1,0.57,15.43,63.32
2022-01-04,Kolhapur,Cotton,1846.29,1.75,17.49,54.56
2022-01-04,Aurangabad,Soybean,1737.57,0.46,19.46,53.5
2022-01-04,Aurangabad,Maize,1227.84,0.02,16.74,60.22
2022-01-04,Nagpur,Wheat,1082.05,3.54,20.89,69.82
2022-01-04,Nashik,Maize,,1.42,17.42,61.46
2022-01-04,Nashik,Wheat,2042.12,0.23,16.37,69.74
